ts,video_id,title,source,source_url,search_query,path,duration,duration,gunfire_density,burst_ratio,audio_rms,center_motion,center_text,panns_gunshot,panns_machine_gun,panns_gun_max,panns_speech,panns_music,killfeed_density,quality_score,heuristic_score,ranker_score,view_count,hook_score,clip_score,fight_score,payoff_score,kill_notification_score,has_author_kill,loot_walk,panns_explosion,quality_ok,reject_reason,batch_id
2026-09-07T19:55:58Z,uqj4fx0kti0,ФАРМИМСЯ С КЛАНОМ В МЕТРО РОЯЛЬ. #пабг  #metroroyale #метророяль #shorts,,https://www.youtube.com/shorts/uqj4fx0kti0,метро роял 7 карта shorts пабг,/root/datasets/pubg/shorts_autolearn/yt_uqj4fx0kti0.mp4,7.69,7.69,0.0091,25.431,0.0015,0.1058,0.272,0.0003,0.0006,0.0016,0.8954,0.1065,,,,,3,,,,,,,,0.0016,False,run_fake_gun=motion0.106:gun0.009,1
2026-09-07T20:42:43Z,AK0Ny0XtpOQ,yt AK0Ny0XtpOQ,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_AK0Ny0XtpOQ.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_AK0Ny0XtpOQ.mp4,51.66,51.66,0.0463,27.972,0.0138,0.3241,0.346,0.0395,0.055,0.055,0.7021,0.2403,,,,,0,,,,,,,,0.0007,False,loot_walk=density0.046,3
2026-09-07T20:43:35Z,QWLYjC11co4,yt QWLYjC11co4,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_QWLYjC11co4.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_QWLYjC11co4.mp4,28.04,28.04,0.0274,5.927,0.0662,0.2325,0.327,0.2645,0.1115,0.2645,0.046,0.5404,,,,,0,,,,,,,,0.002,False,run_loot=motion0.233:gun0.027,4
2026-09-07T20:47:33Z,bPR1xTqqKis,yt bPR1xTqqKis,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_bPR1xTqqKis.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_bPR1xTqqKis.mp4,33.22,33.22,0.22,5.751,0.2875,0.1502,0.397,0.0004,0.0003,0.0004,0.0154,0.9172,,,,,0,,,,,,,0,0.0002,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,3
2026-09-07T20:49:35Z,OlP6ZEhTSgw,yt OlP6ZEhTSgw,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_OlP6ZEhTSgw.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_OlP6ZEhTSgw.mp4,30.48,30.48,0.1741,8.443,0.105,0.1842,0.421,0.141,0.0864,0.141,0.4784,0.634,0.2897,0.0,,,0,,,0.8271,0.0,0.225,0,0,0.008,False,payoff_low=0.000:min0.10,5
2026-09-07T20:49:46Z,01isGkPxCw8,yt 01isGkPxCw8,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_01isGkPxCw8.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_01isGkPxCw8.mp4,28.46,28.46,0.0106,3.779,0.0536,0.2272,0.276,0.7622,0.9222,0.9222,0.3505,0.0363,,,,,0,,,,,,,,0.0015,False,no_shots=density0.011:burst3.78:ownerrun_fake_gun=motion0.227:gun0.011,4
2026-09-07T20:50:05Z,XUQEh0QX7N0,yt XUQEh0QX7N0,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_XUQEh0QX7N0.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_XUQEh0QX7N0.mp4,55.0,55.0,0.0875,9.517,0.0677,0.2474,0.352,0.2246,0.345,0.345,0.5871,0.3325,0.0,0.0,,,0,,,0.9338,0.0,0.0,0,0,0.0003,False,payoff_low=0.000:min0.10,2
2026-09-07T20:50:43Z,HX0d0_upDlI,yt HX0d0 upDlI,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_HX0d0_upDlI.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_HX0d0_upDlI.mp4,18.32,18.32,0.22,5.102,0.2335,0.1413,0.451,0.0002,0.0002,0.0003,0.0198,0.7991,0.0,0.0,,,0,,,0.6895,0.0,0.0,0,0,0.0003,False,payoff_low=0.000:min0.10,2
2026-09-07T20:51:11Z,JMVOKlVRUyQ,yt JMVOKlVRUyQ,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_JMVOKlVRUyQ.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_JMVOKlVRUyQ.mp4,52.98,52.98,0.0825,6.798,0.0363,0.2523,0.238,0.6056,0.6648,0.6648,0.5269,0.0351,0.6046,0.0,,,0,,,0.7625,0.0,0.225,0,0,0.0011,False,payoff_low=0.000:min0.10,6
2026-09-07T20:51:35Z,-p9v3VQaCiY,yt -p9v3VQaCiY,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_-p9v3VQaCiY.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_-p9v3VQaCiY.mp4,13.5,13.5,0.2,4.878,0.2148,0.1857,0.21,0.3724,0.2627,0.3724,0.3445,0.6298,0.6875,0.0375,,,0,,,0.8886,0.0375,0.225,0,0,0.0018,False,payoff_low=0.037:min0.10,5
2026-09-07T20:52:21Z,6eWDqQ4sVcQ,yt 6eWDqQ4sVcQ,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_6eWDqQ4sVcQ.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_6eWDqQ4sVcQ.mp4,13.12,13.12,0.0319,5.494,0.0582,0.2539,0.603,0.426,0.4384,0.4384,0.4878,0.0526,,,,,0,,,,,,,,0.0081,False,no_shots=density0.032:burst5.49:ownerrun_fake_gun=motion0.254:gun0.032,7
2026-09-07T20:53:26Z,HC7EHW0O0F4,yt HC7EHW0O0F4,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_HC7EHW0O0F4.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_HC7EHW0O0F4.mp4,30.67,30.67,0.2016,4.034,0.1445,0.1579,0.475,0.1085,0.1639,0.1639,0.591,0.783,,,,,0,,,,,,,0,0.0009,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,6
2026-09-07T20:54:34Z,HU-OeqtvZFA,yt HU-OeqtvZFA,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_HU-OeqtvZFA.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_HU-OeqtvZFA.mp4,20.72,20.72,0.1418,4.773,0.1606,0.1807,0.331,0.3012,0.3303,0.3303,0.164,0.5506,0.0,0.0,,,0,,,0.8736,0.0,0.0,0,0,0.0012,False,payoff_low=0.000:min0.10,8
2026-09-07T20:55:07Z,Enuock18RhU,yt Enuock18RhU,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_Enuock18RhU.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_Enuock18RhU.mp4,12.68,12.68,0.0697,8.65,0.03,0.2062,0.331,0.2331,0.2886,0.2886,0.4425,0.0592,,,,,0,,,,,,,1,0.0018,False,hard_loot_walk,8
2026-09-07T20:55:23Z,4GFDTG1SNzQ,yt 4GFDTG1SNzQ,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_4GFDTG1SNzQ.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_4GFDTG1SNzQ.mp4,38.02,38.02,0.077,8.758,0.0635,0.1834,0.437,0.3476,0.4934,0.4934,0.284,0.0235,0.0,0.6746,0.714,0.6577,0,,,0.9895,0.22,0.0,1,0,0.0004,True,,7
2026-09-07T20:56:56Z,Olr9BhwiIMg,yt Olr9BhwiIMg,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_Olr9BhwiIMg.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_Olr9BhwiIMg.mp4,12.8,12.8,0.1509,4.935,0.1206,0.1326,0.232,0.6449,0.8282,0.8282,0.0133,0.1895,0.0,0.7283,0.6894,0.745,0,,,0.9464,0.22,0.0,1,0,0.0004,True,,9
2026-09-07T21:00:37Z,ScXoDXjhb6o,yt ScXoDXjhb6o,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_ScXoDXjhb6o.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_ScXoDXjhb6o.mp4,51.4,51.4,0.0741,7.925,0.0204,0.1786,0.431,0.4768,0.7724,0.7724,0.4976,0.1545,0.0,0.4869,0.6778,0.4051,0,,,0.9425,0.22,0.0,1,0,0.0034,True,,9
2026-09-07T21:00:45Z,4BR123cAOzg,yt 4BR123cAOzg,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_4BR123cAOzg.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_4BR123cAOzg.mp4,30.04,30.04,0.196,6.011,0.1442,0.1302,0.26,0.0168,0.0052,0.0168,0.0348,0.7556,,,,,0,,,,,,,0,0.0052,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,11
2026-09-07T21:02:06Z,OlP6ZEhTSgw,yt OlP6ZEhTSgw,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_OlP6ZEhTSgw.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_OlP6ZEhTSgw.mp4,30.48,30.48,0.1741,8.443,0.105,0.1842,0.421,0.141,0.0864,0.141,0.4784,0.634,0.2897,0.0,,,0,,,0.8271,0.0,0.225,0,0,0.008,False,payoff_low=0.000:min0.10,10
2026-09-07T21:02:11Z,QdUASPN6H0k,yt QdUASPN6H0k,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_QdUASPN6H0k.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_QdUASPN6H0k.mp4,38.04,38.04,0.1933,4.556,0.168,0.1617,0.248,0.3372,0.301,0.3372,0.0379,0.6569,0.0,0.0,,,0,,,0.6627,0.0,0.0,0,0,0.0008,False,payoff_low=0.000:min0.10,10
2026-09-07T21:06:02Z,fLoNYcu-fYw,yt fLoNYcu-fYw,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_fLoNYcu-fYw.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_fLoNYcu-fYw.mp4,23.2,23.2,0.2007,5.384,0.1357,0.158,0.377,0.383,0.5195,0.5195,0.0401,0.6144,0.0,0.7174,0.6862,0.7308,0,,,0.9447,0.22,0.0,1,0,0.0067,True,,12
2026-09-07T21:06:04Z,LKAi_8_Hayw,yt LKAi 8 Hayw,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_LKAi_8_Hayw.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_LKAi_8_Hayw.mp4,49.66,49.66,0.126,8.018,0.0952,0.2542,0.329,0.0007,0.0004,0.0008,0.7755,0.8502,0.6039,0.0,,,0,,,0.7354,0.0,0.225,0,0,0.0008,False,payoff_low=0.000:min0.10,12
2026-09-07T21:06:05Z,8oub1508ckk,yt 8oub1508ckk,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_8oub1508ckk.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_8oub1508ckk.mp4,17.98,17.98,0.1709,2.062,0.0898,0.1207,0.328,0.3583,0.3583,0.3583,0.412,0.4477,,,,,0,,,,,,,0,0.0069,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,11
2026-09-07T21:08:33Z,ScXoDXjhb6o,yt ScXoDXjhb6o,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_ScXoDXjhb6o.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_ScXoDXjhb6o.mp4,51.4,51.4,0.0741,7.925,0.0204,0.1786,0.431,0.4768,0.7724,0.7724,0.4976,0.1545,0.0,0.4869,0.6778,0.4051,0,,,0.9425,0.22,0.0,1,0,0.0034,True,,13
2026-09-07T21:08:44Z,JUdPWEXnHC0,yt JUdPWEXnHC0,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_JUdPWEXnHC0.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_JUdPWEXnHC0.mp4,36.12,36.12,0.2057,4.675,0.1979,0.2984,0.515,0.0003,0.0004,0.0013,0.0149,0.8343,,,,,0,,,,,,,0,0.0013,False,hard_bot_farm=bot_farm_one_sided=quarters4:clusters0:kf0:mini0.000,13
2026-09-07T21:09:01Z,GMBzPiKrg1Q,yt GMBzPiKrg1Q,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_GMBzPiKrg1Q.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_GMBzPiKrg1Q.mp4,35.68,35.68,0.0632,6.842,0.0481,0.2068,0.373,0.5594,0.7131,0.7131,0.6796,0.0245,,,,,0,,,,,,,1,0.0035,False,hard_loot_walk,14
2026-09-07T21:09:26Z,KTD8ej6CR0I,yt KTD8ej6CR0I,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_KTD8ej6CR0I.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_KTD8ej6CR0I.mp4,23.76,23.76,0.0362,28.296,0.0106,0.127,0.493,0.1146,0.0247,0.1146,0.0381,0.0428,,,,,0,,,,,,,,0.0037,False,loot_walk=density0.036,15
2026-09-07T21:10:35Z,E3tkTQ_wRtc,yt E3tkTQ wRtc,youtube_shorts_calib,file:///root/datasets/pubg/youtube_shorts/yt_E3tkTQ_wRtc.mp4,local:youtube_shorts_calib,/root/datasets/pubg/youtube_shorts/yt_E3tkTQ_wRtc.mp4,23.38,23.38,0.0597,11.431,0.032,0.1669,0.296,0.4935,0.4324,0.4935,0.0726,0.0202,,,,,0,,,,,,,1,0.0011,False,hard_loot_walk,16
